ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k
24.72,2.01,6.05,3739,2846,139083.86,1.74,1.5,62649,0.798,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2021,1,2021-Q1,2021-01-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
20.47,6.09,3.46,90,32,13439.86,5.39,1.4,4411,0.855,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2022,3,2022-Q3,2022-07-01,False,False,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
54.48,6.38,7.69,4080,2337,107635.9,-1.64,10.0,61499,0.772,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2022,4,2022-Q4,2022-10-01,False,True,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
48.23,2.36,4.07,311,191,226113.86,-1.65,3.0,8898,0.892,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2023,4,2023-Q4,2023-10-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
46.52,0.92,4.81,1636,890,6753.32,-1.16,8.6,39594,0.65,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,2,2023-Q2,2023-04-01,False,True,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
52.96,5.97,4.67,1301,546,80960.83,3.23,10.0,50232,0.536,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2023,3,2023-Q3,2023-07-01,False,True,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
49.82,5.52,6.86,6725,1902,2034883.3,0.58,0.0,101534,0.878,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2024,1,2024-Q1,2024-01-01,False,True,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0
0.5,3.91,5.08,2930,812,4899.39,1.74,0.8,68119,0.83,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2022,1,2022-Q1,2022-01-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
8.13,5.14,4.59,4186,2760,69871.25,0.97,5.4,97210,0.896,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2021,1,2021-Q1,2021-01-01,True,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
34.01,5.9,6.38,3738,1275,573585.14,1.91,3.6,178657,0.889,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2024,1,2024-Q1,2024-01-01,False,True,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
18.65,6.29,2.12,1249,870,329979.59,-1.22,4.6,64192,0.69,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2024,4,2024-Q4,2024-10-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
36.49,4.81,1.25,1228,1054,162493.01,0.91,3.7,130700,0.891,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2021,3,2021-Q3,2021-07-01,True,False,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0
22.66,5.45,4.83,291,178,23095.68,-0.56,1.5,13359,0.953,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2022,3,2022-Q3,2022-07-01,False,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
40.59,6.74,3.52,2759,1760,2890603.45,2.5,11.5,130173,0.832,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2023,3,2023-Q3,2023-07-01,False,True,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
6.08,6.83,6.37,1782,773,66086.85,5.71,0.0,56378,0.946,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2022,2,2022-Q2,2022-04-01,False,False,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
16.96,0.0,3.11,17346,7244,180701.95,-5.52,5.5,662978,0.732,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2023,2,2023-Q2,2023-04-01,False,True,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
30.57,8.76,2.26,280,83,612293.98,-0.49,7.6,12516,0.635,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2021,3,2021-Q3,2021-07-01,True,False,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0
44.33,2.37,5.47,740,403,35506.27,-6.09,3.6,19024,0.86,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2024,3,2024-Q3,2024-07-01,False,True,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0
27.9,6.83,4.97,2949,2348,88148.45,0.12,0.0,70815,0.871,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2022,2,2022-Q2,2022-04-01,False,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
27.28,7.3,5.68,1616,830,126041.4,-5.02,6.3,29984,0.814,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2023,3,2023-Q3,2023-07-01,False,True,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
34.46,6.23,0.0,0,0,249874.84,10.49,2.4,9066,0.735,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,2022,4,2022-Q4,2022-10-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
0.5,2.94,3.35,645,338,9823.66,3.82,0.5,19444,0.924,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2022,2,2022-Q2,2022-04-01,False,False,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
0.5,6.58,2.13,820,608,34593.51,-4.27,5.0,48162,0.659,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2021,1,2021-Q1,2021-01-01,True,False,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
29.32,6.44,3.13,534,195,4287.18,8.75,15.4,22159,0.836,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2023,1,2023-Q1,2023-01-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
26.11,6.55,1.21,1016,413,63670.54,0.86,4.7,84038,0.758,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2021,4,2021-Q4,2021-10-01,True,False,SE,Sweden,Europe,Developed,35693008.03,70.1,Established,84.4,1609.0
2.55,6.67,4.84,460,202,64800.64,-6.11,2.4,12799,0.776,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2022,2,2022-Q2,2022-04-01,False,False,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
30.68,0.37,5.77,1480,546,292596.63,3.07,14.8,50354,0.859,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2024,3,2024-Q3,2024-07-01,False,True,SE,Sweden,Europe,Developed,35693008.03,70.1,Established,84.4,1609.0
30.7,4.63,3.24,1129,741,56828.55,2.91,5.6,93803,0.929,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2024,4,2024-Q4,2024-10-01,False,True,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
5.19,5.1,6.43,657,308,386128.58,-2.89,0.0,27063,0.779,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2021,2,2021-Q2,2021-04-01,True,False,GB,United Kingdom,Europe,Developed,17661249.01,79.5,Developing,84.8,1792.0
37.83,5.08,1.77,59,44,26135.13,1.07,10.4,5562,0.799,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2024,2,2024-Q2,2024-04-01,False,True,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
